avg_score,episode_count,frame_count,interval_lower,interval_upper,min,max
7.7,195,20000,1.16927942787,14.2307205721,0.0,29.0
24.5,294,40000,4.27156965892,44.7284303411,2.0,98.0
45.5,382,60000,17.1828478959,73.8171521041,1.0,100.0
2.4,456,80000,0.0346300856649,4.76536991434,0.0,11.0
3.7,523,100000,1.59269675293,5.80730324707,0.0,9.0
70.0,577,120000,40.5571750353,99.4428249647,4.0,100.0
90.1,638,140000,67.7046440889,112.495355911,1.0,100.0
73.1,698,160000,45.3811121815,100.818887819,8.0,100.0
87.8,770,180000,72.2848338532,103.315166147,40.0,100.0
92.3,811,200000,82.5727242002,102.0272758,67.0,100.0
55.6,874,220000,25.8169352011,85.3830647989,2.0,100.0
47.5,933,240000,18.5297626089,76.4702373911,3.0,100.0
76.7,995,260000,52.0872634115,101.312736589,17.0,100.0
69.8,1030,280000,39.433494893,100.166505107,1.0,100.0
29.6,1120,300000,14.8190344011,44.3809655989,1.0,54.0
85.1,1162,320000,65.7619740494,104.438025951,14.0,100.0
83.3,1214,340000,58.1140858507,108.485914149,16.0,100.0
70.4,1287,360000,46.3548311907,94.4451688093,11.0,100.0
4.4,1354,380000,2.37105253314,6.42894746686,1.0,9.0
3.1,1433,400000,1.12070225278,5.07929774722,0.0,9.0
66.5,1531,420000,39.2240374696,93.7759625304,13.0,100.0
2.3,1627,440000,-0.502195031472,5.10219503147,0.0,13.0
71.4,1693,460000,44.5760767062,98.2239232938,10.0,100.0
76.2,1737,480000,53.9106399821,98.4893600179,31.0,100.0
76.7,1809,500000,48.1672116407,105.232788359,1.0,100.0
